Name of the Project,Link to the project,Project Status,Project Description
Institutional Development Expert/TA Coordinator,https://adb.org//node/960071,Status: Closed,"57130-001; Nepal; Public sector management;
Posting date:
12 Apr 2024"
"Contract agreement with M/S Tundi-Bidari JV for upgradation, construction and Performance-Based Maintenance works of Adalat Chautari-Tityang-Saalbot-Daha-Bhakunde-Rayadanda-Damek-Bareng Road (ch 0+000 to 15+000) in Baglung District of Gandaki Province.",https://adb.org//projects/48218-011/main#project-tenders,Status: Awarded,"48218-011; Nepal; Agriculture, natural resources and rural development; Contract date:
31 Mar 2024"
"Contract agreement with M/S VBEPL-ACPL JV for upgradation, construction and Performance-Based Maintenance works of Abuwa-Birdi-Serabazar-Pauwatar Road (ch 0+000 to 15+551) in Gorkha District of Gandaki Province.",https://adb.org//projects/48218-011/main#project-tenders,Status: Awarded,"48218-011; Nepal; Agriculture, natural resources and rural development; Contract date:
31 Mar 2024"
Transmission and Distribution Specialist (Smart Grid and ICT Infrastructure Expert),https://adb.org//node/951786,Status: Closed,"54053-002; Nepal; Energy;
Posting date:
25 Mar 2024"
Horticulturist/Post harvest management expert/ Pop develeopment and training of trainers,https://adb.org//node/953521,Status: Closed,"48218-006; Nepal; Agriculture, natural resources and rural development;
Posting date:
14 Mar 2024"
Plant Pathologist/PoP development and training of trainers,https://adb.org//node/953471,Status: Closed,"48218-006; Nepal; Agriculture, natural resources and rural development;
Posting date:
14 Mar 2024"
Agriculture Economist/PoP Development and Training of Trainers,https://adb.org//node/953456,Status: Closed,"48218-006; Nepal; Agriculture, natural resources and rural development;
Posting date:
14 Mar 2024"
Soil Scientist/PoP Development and Training of Trainers,https://adb.org//node/953451,Status: Closed,"48218-006; Nepal; Agriculture, natural resources and rural development;
Posting date:
14 Mar 2024"
Horticulturist/Nursery management Expert/PoP Development and Training of Trainers,https://adb.org//node/953436,Status: Closed,"48218-006; Nepal; Agriculture, natural resources and rural development;
Posting date:
14 Mar 2024"
Team Leader/Horticulturist/PoP Development and Training of Trainers,https://adb.org//node/953406,Status: Closed,"48218-006; Nepal; Agriculture, natural resources and rural development;
Posting date:
14 Mar 2024"
Entomologist/PoP Development and Training of Trainers,https://adb.org//node/953401,Status: Closed,"48218-006; Nepal; Agriculture, natural resources and rural development;
Posting date:
14 Mar 2024"
Transmission and Distribution Specialist (Smart Grid- Smart Metering Expert),https://adb.org//node/951881,Status: Closed,"54053-002; Nepal; Energy;
Posting date:
06 Mar 2024"
4433-NEP/0927-NEP: Urban Resilience and Livability Improvement Project,https://adb.org//node/957181,Status: Active,"55346-001; Nepal; Water and other urban infrastructure and services;
Posting date:
06 Mar 2024"
"Upgrade, const. and maintenance of Radhakrishna Mandir-Buddha Dev Mandal-Siddhartha Pra Bi-Ganeshpur-Bankuluwa-Chinimill-Ramdhuni Naya Road (Ch 0+000 to 12+073) incl. const. of Kuruwa Khola Bridge in Sunsari District (RCIP-AF/Koshi/Works/OCB-02/2079/20)",https://adb.org//projects/48218-011/main#project-tenders,Status: Awarded,"48218-011; Nepal; Agriculture, natural resources and rural development; Contract date:
06 Mar 2024"
"Upgradation, construction and performance-based maintenance works of Rampur-Prapcha-Sreechaur-Fijifalate (Nibhare)-Khijikali (Kundali)-Rawadolu-Bhasniga Road (ch 0+000 to 12+000) in Okhaldhunga District (RCIP-AF/Koshi/Works/OCB-05/2079/80)",https://adb.org//projects/48218-011/main#project-tenders,Status: Awarded,"48218-011; Nepal; Agriculture, natural resources and rural development; Contract date:
06 Mar 2024"
"Upgradation, construction and performance-based maintenance works of Phidim-Falot Road (ch 0+000 to 11+000) in Panchthar District (RCIP-AF/Koshi/Works/OCB-03/2079/80)",https://adb.org//projects/48218-011/main#project-tenders,Status: Awarded,"48218-011; Nepal; Agriculture, natural resources and rural development; Contract date:
06 Mar 2024"
Capacity Development Technical Assistance,https://adb.org//projects/49424-002/main#project-tenders,Status: Awarded,"49424-002; Nepal; Education; Contract date:
04 Mar 2024"
Procurement Specialist,https://adb.org//node/951311,Status: Closed,"48218-012; Nepal; Agriculture, natural resources and rural development;
Posting date:
02 Mar 2024"
Program Coordinator,https://adb.org//node/905716,Status: Closed,"49424-002; Nepal; Education;
Posting date:
23 Feb 2024"
"Technical Support Firm to Strengthen Curriculum, Textbook and Learning Materials Development",https://adb.org//node/949731,Status: Closed,"49424-002; Nepal; Education;
Posting date:
23 Feb 2024"
Capacity Development Technical Assistance,https://adb.org//projects/52097-003/main#project-tenders,Status: Awarded,"52097-003; Nepal; Transport; Contract date:
22 Feb 2024"
National Fiscal Policy Expert,https://adb.org//node/947596,Status: Closed,"55002-001; Nepal; Public sector management;
Posting date:
16 Feb 2024"
Procurement of Design and Construction Supervision Consultant (DCSC) in Pokhara Metropolitan City,https://adb.org//node/947081,Status: Closed,"55346-001; Nepal; Water and other urban infrastructure and services;
Posting date:
15 Feb 2024"
Social Safeguard Expert,https://adb.org//node/946511,Status: Closed,"54053-002; Nepal; Energy;
Posting date:
13 Feb 2024"
Education Planning Specialist - Teacher Management,https://adb.org//node/946196,Status: Closed,"49424-002; Nepal; Education;
Posting date:
12 Feb 2024"
Individual Project Supervision Consultant through a consulting entity,https://adb.org//node/946166,Status: Closed,"44219-014; Nepal; Energy;
Posting date:
12 Feb 2024"
Environment (Assessment) Specialist,https://adb.org//node/943511,Status: Closed,"54053-002; Nepal; Energy;
Posting date:
06 Feb 2024"
Research Economist,https://adb.org//node/943006,Status: Closed,"54146-001; Nepal; Public sector management;
Posting date:
02 Feb 2024"
Monitoring Engineer,https://adb.org//node/943011,Status: Closed,"53238-001; Nepal; Public sector management;
Posting date:
02 Feb 2024"
Selection Of Individual Varification Agent For Solar Installation,https://adb.org//node/941541,Status: Closed,"51190-001; Nepal; Education;
Posting date:
26 Jan 2024"
Solar Installation Varification Agent,https://adb.org//node/941371,Status: Closed,"51190-001; Nepal; Education;
Posting date:
25 Jan 2024"
Farmer Group and Cooperative Facilitation,https://adb.org//node/941401,Status: Closed,"48218-006; Nepal; Agriculture, natural resources and rural development;
Posting date:
25 Jan 2024"
SASEC Highway Enhancement Project (Contract Management Specialist-International),https://adb.org//node/937026,Status: Closed,"52097-003; Nepal; Transport;
Posting date:
08 Jan 2024"
"A1.1: Procurement of Plant for Design, Supply, Installation, and Commissioning of 132kV Underground Transmission Line from Chobhar Substation to New Patan Substation (PMD/EGMPAF/CPCUGTLP-079/80-02)",https://adb.org//projects/54107-002/main#project-tenders,Status: Awarded,"54107-002; Nepal; Energy; Contract date:
29 Dec 2023"
"A1.2 (AF): Procurement of Plant for Design, Supply, Installation, Testing, and Commissioning of New Patan 132/66/11 kV GIS Substation (PMD/EGMPAF/CPCUGTLP-079/80-01)",https://adb.org//projects/54107-002/main#project-tenders,Status: Awarded,"54107-002; Nepal; Energy; Contract date:
29 Dec 2023"
ADB Exporter Survey (Nepal),https://adb.org//node/935156,Status: Closed,"54146-001; Nepal; Public sector management;
Posting date:
22 Dec 2023"
Design and Supervision Consultant,https://adb.org//node/935146,Status: Closed,"43524-014; Nepal; Water and other urban infrastructure and services;
Posting date:
22 Dec 2023"
Road Safety Implementation Consultant under South Asia Subregional Economic Cooperation Highway Improvement Project,https://adb.org//node/935151,Status: Closed,"52097-001; Nepal; Transport;
Posting date:
22 Dec 2023"
Piluwa-Parwanipur 132 kV Transmission Line Upgradation Works,https://adb.org//projects/50059-003/main#project-tenders,Status: Awarded,"50059-003; Nepal; Energy; Contract date:
21 Dec 2023"
Engineer,https://adb.org//node/930616,Status: Closed,"49424-002; Nepal; Education;
Posting date:
11 Dec 2023"
Farmer Group and Cooperative Facilitation,https://adb.org//node/930636,Status: Closed,"48218-006; Nepal; Agriculture, natural resources and rural development;
Posting date:
10 Dec 2023"
Senior Project and Contract Management Expert,https://adb.org//node/928696,Status: Closed,"52195-001; Nepal; Agriculture, natural resources and rural development;
Posting date:
04 Dec 2023"
L2990-NEP: Tanahu Hydropower Project [THL-2080/81-ICB-01],https://adb.org//node/928326,Status: Closed,"43281-013; Nepal; Energy;
Posting date:
01 Dec 2023"
Procurement Specialist,https://adb.org//node/928091,Status: Closed,"53238-001; Nepal; Public sector management;
Posting date:
30 Nov 2023"
e-GP Coordinator,https://adb.org//node/928051,Status: Closed,"53238-001; Nepal; Public sector management;
Posting date:
30 Nov 2023"
Farmer Group and Cooperative Facilitation,https://adb.org//node/927406,Status: Closed,"48218-006; Nepal; Agriculture, natural resources and rural development;
Posting date:
28 Nov 2023"
Kakarbhitta - Laukahi Section of East-West Highway (H01),https://adb.org//projects/52097-003/main#project-tenders,Status: Awarded,"52097-003; Nepal; Transport; Contract date:
27 Nov 2023"
Kakarbhitta - Laukahi Section of East-West Highway (H01) [Lot 2],https://adb.org//projects/52097-003/main#project-tenders,Status: Awarded,"52097-003; Nepal; Transport; Contract date:
27 Nov 2023"
Kakarbhitta - Laukahi Section of East-West Highway (H01) [Lot 4],https://adb.org//projects/52097-003/main#project-tenders,Status: Awarded,"52097-003; Nepal; Transport; Contract date:
27 Nov 2023"
Kakarbhitta - Laukahi Section of East-West Highway (H01) [Lot 5],https://adb.org//projects/52097-003/main#project-tenders,Status: Awarded,"52097-003; Nepal; Transport; Contract date:
27 Nov 2023"
Kakarbhitta - Laukahi Section of East-West Highway (H01) [Lot 3],https://adb.org//projects/52097-003/main#project-tenders,Status: Awarded,"52097-003; Nepal; Transport; Contract date:
27 Nov 2023"
Strengthening Public Financial Management and Devolved Service Delivery Program (Subprogram 1),https://adb.org//node/924926,Status: Closed,"55002-001; Nepal; Public sector management;
Posting date:
21 Nov 2023"
Supervision and Design Consultant (SDC) for Infrastructure and Public Space Works in Five Municipalities in the Western Urbanizing Corridor of Nepal,https://adb.org//node/920661,Status: Closed,"55346-001; Nepal; Water and other urban infrastructure and services;
Posting date:
29 Oct 2023"
"Contract for Design, supply, installation, and commissioning of 220 kv AIS substation at Matatirtha (Ktm) and 220 kV GIS substation at Markichowk (Marsyangdi): ICB-PMD-MKTLP-072/73-03",https://adb.org//projects/44219-014/main#project-tenders,Status: Awarded,"44219-014; Nepal; Energy; Contract date:
22 Oct 2023"
Consulting services for Project Management and Capacity Development Consultant,https://adb.org//node/919416,Status: Closed,"55346-001; Nepal; Water and other urban infrastructure and services;
Posting date:
21 Oct 2023"
GESI Training Specialist,https://adb.org//node/909036,Status: Closed,"55092-001; Nepal; Public sector management;
Posting date:
06 Oct 2023"
"design, supply, installation, testing and commissioning of Pokhariya 132/33/11 kV AIS Substation and Bay Extension Work of Parwanipur Substation",https://adb.org//projects/50059-003/main#project-tenders,Status: Awarded,"50059-003; Nepal; Energy; Contract date:
29 Sep 2023"
Financial and Administration Officer-3,https://adb.org//node/850846,Status: Closed,"55092-001; Nepal; Public sector management;
Posting date:
22 Sep 2023"
South Asia Subregional Economic Cooperation Power Transmission and Distribution System Strengthening Project,https://adb.org//node/912441,Status: Closed,"50059-003; Nepal; Energy;
Posting date:
21 Sep 2023"
Capacity Building Specialist,https://adb.org//node/912131,Status: Closed,"50059-003; Nepal; Energy;
Posting date:
20 Sep 2023"
Farmers Group and Cooperative Facilitation,https://adb.org//node/910756,Status: Closed,"48218-006; Nepal; Agriculture, natural resources and rural development;
Posting date:
19 Sep 2023"
GBV Awareness Field Coordinator-1,https://adb.org//node/850801,Status: Closed,"55092-001; Nepal; Public sector management;
Posting date:
12 Sep 2023"
Farmer Group and Cooperative Facilitation,https://adb.org//node/908811,Status: Closed,"48218-006; Nepal; Agriculture, natural resources and rural development;
Posting date:
10 Sep 2023"
3702-NEP: Disaster Resilience of Schools Project [DRSP/CLPIU/080/81-ICT Equipment System-01],https://adb.org//node/908016,Status: Closed,"51190-001; Nepal; Education;
Posting date:
05 Sep 2023"
Project Management Specialist,https://adb.org//projects/43524-014/main#project-tenders,Status: Awarded,"43524-014; Nepal; Water and other urban infrastructure and services; Contract date:
28 Aug 2023"
Project Analyst,https://adb.org//node/904296,Status: Closed,"53238-001; Nepal; Public sector management;
Posting date:
21 Aug 2023"
"Institutional Strengthening of Project Implementation, Climate Change, and Disaster Risk Resilience in the Road Sector",https://adb.org//node/904076,Status: Closed,"52097-003; Nepal; Transport;
Posting date:
18 Aug 2023"
Implementation Support and Institutional Strengthening for the Rural Connectivity Improvement Project–Additional Financing,https://adb.org//node/902816,Status: Closed,"48218-011; Nepal; Agriculture, natural resources and rural development;
Posting date:
17 Aug 2023"
"Package A-3: PCSS for Design, Supply, Installation, Testing and Commissioning of TL from Kohalpur to Nepalgung (Janaki Rural Municipality) and Assocaited 132/33/11 kV AIS at Bakaspur, Janaki Rural Municipality, Banke District",https://adb.org//projects/54107-002/main#project-tenders,Status: Awarded,"54107-002; Nepal; Energy; Contract date:
16 Aug 2023"
PMDSC,https://adb.org//node/901661,Status: Closed,"43448-013; Nepal; Agriculture, natural resources and rural development;
Posting date:
13 Aug 2023"
"Recruitment of Non-Government Organization for Human Trafficking Prevention, HIV/AIDS and SHEA Awareness and Livelihood Improvement Program",https://adb.org//node/900046,Status: Closed,"52097-002; Nepal; Transport;
Posting date:
03 Aug 2023"
"4320-NEP: Rural Connectivity Improvement Project-AF [ RCIP-AF/Bagamati/Works/OCB-06, 07, 09]",https://adb.org//node/899436,Status: Closed,"48218-011; Nepal; Agriculture, natural resources and rural development;
Posting date:
31 Jul 2023"
Knowledge Solutions and Institutional Strengthening for Sustainable Development-Resource Mapping and Growth Diagnostic Study in Lumbini Province and Strengthening Project Bank in Gandaki Province,https://adb.org//node/897866,Status: Closed,"54146-001; Nepal; Public sector management;
Posting date:
22 Jul 2023"
3000-NEP: Kathmandu Valley Wastewater Management Project,https://adb.org//node/897751,Status: Closed,"43524-014; Nepal; Water and other urban infrastructure and services;
Posting date:
21 Jul 2023"
SASEC Highway Enhancement Project (Social Safeguard (Gender Equality and Social Inclusion) Specialist (National)),https://adb.org//node/897601,Status: Closed,"52097-003; Nepal; Transport;
Posting date:
21 Jul 2023"
"Strengthening Education Planning, Budgeting and Financial Reporting in School Education Sector Plan",https://adb.org//node/897591,Status: Closed,"49424-002; Nepal; Education;
Posting date:
21 Jul 2023"
Knowledge Solutions and Institutional Strengthening for Sustainable Development- Phase 1: Provincial GDP (PGDP) Assignment-Fund Manager,https://adb.org//node/895166,Status: Closed,"54146-001; Nepal; Public sector management;
Posting date:
15 Jul 2023"
0520-NEP: Additional Financing for SASEC Power System Expansion Project [PMD/SASEC(Additional)/KSEP–079/80 - 01],https://adb.org//node/892916,Status: Closed,"44219-014; Nepal; Energy;
Posting date:
05 Jul 2023"
4109-NEP: Electricity Grid Modernization Project-Additional Financing [PMD/EGMPAF/CPCUGTLP-079/80-01],https://adb.org//node/892911,Status: Closed,"54107-001; Nepal; Energy;
Posting date:
05 Jul 2023"
Financial and Administration Officer-2,https://adb.org//node/850851,Status: Closed,"55092-001; Nepal; Public sector management;
Posting date:
05 Jul 2023"
Financial and Administration Officer-1,https://adb.org//node/850766,Status: Closed,"55092-001; Nepal; Public sector management;
Posting date:
05 Jul 2023"
SASEC Highway Enhancement Project (Environment Safeguard Specialist),https://adb.org//node/892411,Status: Closed,"52097-003; Nepal; Transport;
Posting date:
01 Jul 2023"
"4320-NEP: Rural Connectivity Improvement Project-AF (W22,23,24)",https://adb.org//node/890836,Status: Closed,"48218-011; Nepal; Agriculture, natural resources and rural development;
Posting date:
22 Jun 2023"
SASEC Highway Enhancement Project (Social Safeguard Specialist),https://adb.org//node/889096,Status: Closed,"52097-003; Nepal; Transport;
Posting date:
18 Jun 2023"
C-1: Project Management Consultant for Supervision of Implementations of Enterprise Resource Planning and Revenue Management System (ICB/FD/EGMPAF/PMC-078/79-C1),https://adb.org//projects/54107-002/main#project-tenders,Status: Awarded,"54107-002; Nepal; Energy; Contract date:
15 Jun 2023"
Procurement and Contract Management Specialist,https://adb.org//node/887471,Status: Closed,"55092-001; Nepal; Public sector management;
Posting date:
12 Jun 2023"
48218-NEP: Rural Connectivity Improvement Project-AF [OCB-12; OCB-13; OCB-14],https://adb.org//node/886761,Status: Closed,"48218-011; Nepal; Agriculture, natural resources and rural development;
Posting date:
06 Jun 2023"
48218-NEP: Rural Connectivity Improvement Project-AF [RCIP-AF/Lumbini/Works/OCB-18/2079/80; RCIP-AF/Lumbini/Works/OCB-19/2079/80],https://adb.org//node/886356,Status: Closed,"48218-011; Nepal; Agriculture, natural resources and rural development;
Posting date:
02 Jun 2023"
"48218-011.NEP: Rural Connectivity Improvement Project- AF (RCIP-AF/Koshi/OCB02, 03, 05)",https://adb.org//node/885531,Status: Closed,"48218-011; Nepal; Agriculture, natural resources and rural development;
Posting date:
30 May 2023"
Emergency Preparedness Plan Specialist-I,https://adb.org//node/884096,Status: Closed,"55060-001; Nepal; Health;
Posting date:
22 May 2023"
Emergency Preparedness Plan Specialist-II,https://adb.org//node/884066,Status: Closed,"55060-001; Nepal; Health;
Posting date:
22 May 2023"
"Design, Supply, Installation, Testing and Commissioning of Amlekhgunj 132/66/11kV GIS Substation",https://adb.org//projects/50059-002/main#project-tenders,Status: Awarded,"50059-002; Nepal; Energy; Contract date:
18 May 2023"
Assessment and Examination Specialist,https://adb.org//node/882181,Status: Closed,"49424-002; Nepal; Education;
Posting date:
17 May 2023"
Education Planning Specialist,https://adb.org//node/882176,Status: Closed,"49424-002; Nepal; Education;
Posting date:
17 May 2023"
Medical Equipment Survey in Public Health Facilities of Nepal,https://adb.org//node/881011,Status: Closed,"53238-001; Nepal; Public sector management;
Posting date:
10 May 2023"
Capacity Development Support Firm to Implement Health Care Waste Management Plan,https://adb.org//node/880916,Status: Closed,"53238-001; Nepal; Public sector management;
Posting date:
10 May 2023"
4109-NEP: Electricity Grid Modernization Project-Additional Financing [PMD/EGMPAF/CPCUGTLP-079/80-02],https://adb.org//node/880736,Status: Closed,"54107-002; Nepal; Energy;
Posting date:
08 May 2023"
Study on Awareness on Risks of COVID-19 and Benefits of Vaccination,https://adb.org//node/880346,Status: Closed,"53238-001; Nepal; Public sector management;
Posting date:
05 May 2023"
Senior Civil Engineer,https://adb.org//node/878811,Status: Closed,"43448-013; Nepal; Agriculture, natural resources and rural development;
Posting date:
27 Apr 2023"
Senior Architect,https://adb.org//node/878771,Status: Closed,"43448-013; Nepal; Agriculture, natural resources and rural development;
Posting date:
27 Apr 2023"
Structural Engineer,https://adb.org//node/878741,Status: Closed,"43448-013; Nepal; Agriculture, natural resources and rural development;
Posting date:
27 Apr 2023"
National Horticulturist - Nursery Supply Chain Assessment and Sapling Price Recommendations in NAFHA Project Areas,https://adb.org//node/878336,Status: Closed,"48218-012; Nepal; Agriculture, natural resources and rural development;
Posting date:
25 Apr 2023"
Community Based Disaster Management Consultant,https://adb.org//node/874571,Status: Closed,"52195-001; Nepal; Agriculture, natural resources and rural development;
Posting date:
14 Apr 2023"
Project Management Specialist/Team Leader,https://adb.org//node/850796,Status: Closed,"55092-001; Nepal; Public sector management;
Posting date:
14 Apr 2023"
Supply Delivery Installation Testing and Commissioning of Output Based Solar System Project for 130 Schools,https://adb.org//projects/51190-001/main#project-tenders,Status: Awarded,"51190-001; Nepal; Education; Contract date:
12 Apr 2023"
Gender-based Violence Response Specialist,https://adb.org//node/870246,Status: Closed,"55092-001; Nepal; Public sector management;
Posting date:
05 Apr 2023"
Monitoring & Evaluation Specialist,https://adb.org//node/873031,Status: Closed,"55092-001; Nepal; Public sector management;
Posting date:
05 Apr 2023"
GBV Response Specialist-2,https://adb.org//node/850856,Status: Closed,"55092-001; Nepal; Public sector management;
Posting date:
03 Apr 2023"
GBV Awareness Field Coordinator-2,https://adb.org//node/850816,Status: Closed,"55092-001; Nepal; Public sector management;
Posting date:
03 Apr 2023"
GBV Response Specialist-1,https://adb.org//node/850791,Status: Closed,"55092-001; Nepal; Public sector management;
Posting date:
03 Apr 2023"
GBV Response Specialist-3,https://adb.org//node/850771,Status: Closed,"55092-001; Nepal; Public sector management;
Posting date:
03 Apr 2023"
GBV Awareness Field Coordinator-3,https://adb.org//node/850761,Status: Closed,"55092-001; Nepal; Public sector management;
Posting date:
03 Apr 2023"
National Social Safeguards Specialist,https://adb.org//node/871876,Status: Closed,"53238-001; Nepal; Public sector management;
Posting date:
30 Mar 2023"
Evaluation Specialist,https://adb.org//node/870741,Status: Closed,"54146-001; Nepal; Public sector management;
Posting date:
23 Mar 2023"
Procurement/Account Specialist,https://adb.org//node/870716,Status: Closed,"54146-001; Nepal; Public sector management;
Posting date:
23 Mar 2023"
Infrastructure Specialist,https://adb.org//node/870691,Status: Closed,"54146-001; Nepal; Public sector management;
Posting date:
23 Mar 2023"
GESI Specialist,https://adb.org//node/870671,Status: Closed,"54146-001; Nepal; Public sector management;
Posting date:
23 Mar 2023"
Loan 52130-NEP: Mechanized Irrigation Innovation Project [Civil-01/GWIS/MIIP/2079-80],https://adb.org//node/870216,Status: Closed,"52130-001 ; Nepal; Agriculture, natural resources and rural development;
Posting date:
21 Mar 2023"
Financial Advisor for Dudhkoshi SHEP,https://adb.org//node/867061,Status: Closed,"47036-001; Nepal; Energy;
Posting date:
21 Mar 2023"
Legal Advisor for Dudhkoshi SHEP,https://adb.org//node/867056,Status: Closed,"47036-001; Nepal; Energy;
Posting date:
21 Mar 2023"
3943-NEP: SASEC Power Transmission and Distribution System Strengthening Project [PMD/PTDSSP/HPP/2079/80-02],https://adb.org//node/866166,Status: Closed,"50059-003; Nepal; Energy;
Posting date:
16 Mar 2023"
DoLI/RCIP/IND-23/079/80,https://adb.org//node/865796,Status: Closed,"48218-003; Nepal; Agriculture, natural resources and rural development;
Posting date:
15 Mar 2023"
