Name of the Project,Link to the project,Duration of the Project,Project Details
MiRiDew - Migrant Rights and Decent Work,https://www.eda.admin.ch/countries/nepal/en/home/international-cooperation/projects.olddesign.olddesign.olddesign.olddesign.olddesign.par_projectfilter_2b80_page1.html/content/dezaprojects/SDC/en/2018/7F10049/phase2?oldPagePath=/content/countries/nepal/en/home/internationale-zusammenarbeit/projekte.html,"01.07.2023
                                - 31.12.2026", Remittances sent home by over 4 million migrant workers have significantly contributed to the economic development of Nepal. The proposed project will enhance the capacities of the Government of Nepal and strengthen mechanisms to better protect the rights of workers abroad. There will be a special focus on women’s need and the adverse effects of climate change exacerbating the vulnerability of migrants. The project capitalises on Switzerland’s longstanding engagement on labour migration in Nepal.
DIGI Nepal - Digital Innovation for Growth and Inclusion,https://www.eda.admin.ch/countries/nepal/en/home/international-cooperation/projects.olddesign.olddesign.olddesign.olddesign.olddesign.par_projectfilter_2b80_page1.html/content/dezaprojects/SDC/en/2022/7F11005/phase1?oldPagePath=/content/countries/nepal/en/home/internationale-zusammenarbeit/projekte.html,"01.07.2023
                                - 30.06.2025"," This project Digital Innovation for Growth and Inclusion in Nepal, promotes digital innovation that is essential for an increased access of women and men, including from discriminated groups and beyond the capital, to affordable basic services. Therefore, it provides technical assistance and co-funding to digital tech providers, and facilitates their access to Swiss and international expertise and business relations. Digital innovation will also lead to market expansion as well as the creation of jobs and income."
Enhanced Skills for Sustainable and Rewarding Employment (ENSSURE) Phase II,https://www.eda.admin.ch/countries/nepal/en/home/international-cooperation/projects.olddesign.olddesign.olddesign.olddesign.olddesign.par_projectfilter_2b80_page1.html/content/dezaprojects/SDC/en/2014/7F09104/phase2?oldPagePath=/content/countries/nepal/en/home/internationale-zusammenarbeit/projekte.html,"16.07.2021
                                - 15.07.2025"," For Nepalese women and men to gain and retain social and economic benefits from lifelong learning, the establishment of a well-functioning federalised Technical and Vocational Education and Training (TVET) system is crucial. In light of its long-standing expertise in TVET and federalism, Switzerland is well placed to support the implementation of a federalised TVET system that responds to the needs of enterprises and increases the prospect of gainful employment for all, especially youths."
2021 Population and Housing Census of Nepal,https://www.eda.admin.ch/countries/nepal/en/home/international-cooperation/projects.olddesign.olddesign.olddesign.olddesign.olddesign.par_projectfilter_2b80_page1.html/content/dezaprojects/SDC/en/2021/7F10767/phase1?oldPagePath=/content/countries/nepal/en/home/internationale-zusammenarbeit/projekte.html,"01.07.2021
                                - 31.12.2024"," The goal is to support the Government of Nepal to conduct the 2021 census in line with international standards to obtain high quality data, reflecting Nepal’s social, ethnic, religious and linguistic diversity and which can be used to better respond to the needs of the different population groups. Given its track record and emphasis on federal state building, Switzerland has a key interest that the census is adapted to the federal context and gender equality and social inclusion principles are followed."
Quality TVET for Youth (QualiTY),https://www.eda.admin.ch/countries/nepal/en/home/international-cooperation/projects.olddesign.olddesign.olddesign.olddesign.olddesign.par_projectfilter_2b80_page1.html/content/dezaprojects/SDC/en/2021/7F10737/phase1?oldPagePath=/content/countries/nepal/en/home/internationale-zusammenarbeit/projekte.html,"01.06.2021
                                - 15.07.2026"," The overall goal of the project is for Nepalese youth to benefit from quality Technical and Vocational Education and Training (TVET) and better employment prospects. To achieve this, the project will support the federal, provincial and local governments of Nepal to establish an accreditation and coaching system so that TVET schools can improve and meet national quality requirements. The project capitalises on Switzerland’s long-standing and unique expertise in TVET federalisation."
Reintegration of Returnee Migrant Workers Project,https://www.eda.admin.ch/countries/nepal/en/home/international-cooperation/projects.olddesign.olddesign.olddesign.olddesign.olddesign.par_projectfilter_2b80_page1.html/content/dezaprojects/SDC/en/2021/7F10648/phase1?oldPagePath=/content/countries/nepal/en/home/internationale-zusammenarbeit/projekte.html,"01.01.2021
                                - 31.05.2027"," The project will contribute to ensure migrant workers benefit fully from their migration experience by supporting the reintegration of returnee migrant workers in Nepal. It will work with the Nepali Government to provide reintegration services and support policy development to anchor them in the federal structure. Switzerland has a key interest that the potential of migration for development is fully used and is well positioned to engage on the topic, given its track record in migration in Nepal."
MLRBP - Motorable Local Roads Bridge Programme,https://www.eda.admin.ch/countries/nepal/en/home/international-cooperation/projects.olddesign.olddesign.olddesign.olddesign.olddesign.par_projectfilter_2b80_page1.html/content/dezaprojects/SDC/en/2010/7F07595/phase4?oldPagePath=/content/countries/nepal/en/home/internationale-zusammenarbeit/projekte.html,"01.01.2021
                                - 31.12.2024"," The project contributes to the consolidation of Swiss Knowhow transfer in the bridge building sector by supporting the government of Nepal in institutionalizing the implementation of local infrastructure at provincial levels in the spirit of the devolved provisions made in the new Constitution. This will increase people’s perception that their provincial government delivers most essential physical access to basic services and economic opportunities, boosting their confidence in the new federal system."
Private Sector-led Economic Recovery from COVID-19,https://www.eda.admin.ch/countries/nepal/en/home/international-cooperation/projects.olddesign.olddesign.olddesign.olddesign.olddesign.par_projectfilter_2b80_page1.html/content/dezaprojects/SDC/en/2020/7F10622/phase1?oldPagePath=/content/countries/nepal/en/home/internationale-zusammenarbeit/projekte.html,"01.09.2020
                                - 31.12.2024",
Nepal Vocational Qualifications System (NVQS) Phase Il,https://www.eda.admin.ch/countries/nepal/en/home/international-cooperation/projects.olddesign.olddesign.olddesign.olddesign.olddesign.par_projectfilter_2b80_page1.html/content/dezaprojects/SDC/en/2014/7F08972/phase2?oldPagePath=/content/countries/nepal/en/home/internationale-zusammenarbeit/projekte.html,"16.07.2020
                                - 15.07.2024"," Based on Swiss expertise in Technical and Vocational Education and Training, the project contributes to establish a federal vocational qualifications system. The NVQS will increase the
transparency on the labour market for employers and workers, improve official recognition of
workers competencies in hospitality, construction and automobile sectors and allow links between
TVET and general education to access higher level qualifications for better employment in
domestic and international labour market."
NAMDP - Nepal Agricultural Markets Development Program,https://www.eda.admin.ch/countries/nepal/en/home/international-cooperation/projects.olddesign.olddesign.olddesign.olddesign.olddesign.par_projectfilter_2b80_page1.html/content/dezaprojects/SDC/en/2014/7F08486/phase2?oldPagePath=/content/countries/nepal/en/home/internationale-zusammenarbeit/projekte.html,"01.07.2020
                                - 30.11.2024"," This market systems development project seeks to stimulate job creation and increase income, including for women and disadvantaged groups, through a successful transformation of agricultural markets in Province 1 of Nepal. Leveraging Swiss expertise in market systems and geographical focus in the province, it will align with the provincial government’s priorities and strengthen its potential to effectively regulate, nurture and stimulate markets’ productivity and competitiveness."
