Name of the Project,Link to the project,Project Details,Start Date
Illegal Wildlife Trade Challenge Fund Round 6,https://devtracker.fcdo.gov.uk/projects/GB-GOV-7-IWTCF-R6/summary,"Illegal wildlife trade (IWT) is the fifth most lucrative transnational crime, worth up to £17bn a year globally. As well as threatening species with extinction, IWT destroys vital ecosystems. IWT also fosters corruption, feeds insecurity, and undermines good governance and the rule of law. The UK government is committed to tackling illegal trade of wildlife products. Defra manages the Illegal Wildlife Trade Challenge Fund, which is a competitive grants scheme with the objective of tackling illegal wildlife trade and, in doing so, contributing to sustainable development in developing countries. Projects funded under the Illegal Wildlife Trade Challenge Fund address one, or more, of the following themes: • Developing sustainable livelihoods to benefit people directly affected by IWT • Strengthening law enforcement • Ensuring effective legal frameworks • Reducing demand for IWT products Over £26 million has been committed to 85 projects since the Illegal Wildlife Trade Challenge Fund was established in 2013; five projects were awarded in 2014 (via applications to the Darwin Initiative), fourteen in 2015, fifteen in 2016, thirteen in 2017, fourteen in 2018 and thirteen in 2019 and ten in the latest round in 2020. (more info here: https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/919053/iwt-challenge-fund-list.pdf): IWT076, IWT077, IWT078, IWT082, IWT083, IWT079, IWT080, IWT081, IWT084, IWT085",2020-4-1
A contribution to Financial Sector Deepening Africa (FSDA) the United Nations Development Programme Biodiversity Finance Initiative (Biofin) to support delivery of the Kunming-Montreal Global Biodiversity Framework.,https://devtracker.fcdo.gov.uk/projects/GB-GOV-7-NPE/summary,"The programme will support low and lower-middle income countries to grow their economies in ways that help to protect and restore their natural capital and so drive sustainable economic development. It is designed to provide practical support to governments, businesses, and financial institutions to integrate nature into their economic and financial decision-making, understand and manage nature-related risks, and capitalise on growing opportunities to invest in their natural assets. As such, it will support low and lower-middle income countries to transition to nature positive, net zero economies and so protect the poorest communities. Through an integrated set of activities, the programme will deliver the following outcomes: • Private Sector Disclosure Readiness: private sector actors in low and lower-middle income countries – including financial institutions, businesses, and policy-makers - will have the tools they need to understand and manage nature-related financial risk. In particular, the programme will ensure that key institutions have the tools and capacity to respond to growing demand to disclose nature-related financial risk. • Integrating nature at country level: governmental and regulatory decision-makers in low and lower-middle income countries will have the knowledge, skills and data to design and implement policies and programmes that will help to manage nature-related risks, unlock new nature markets, and rebuild natural capital. • Action Plans for Nature: partner governments will develop clear and comprehensive plans to finance the protection and restoration of nature. These plans will act as platforms to mobilise and guide both public and private financial flows. • Evidence Sharing Mechanisms on Nature: better evidence will be available to, and used by, decision makers in low and lower middle-income countries to guide their work. The programme will help to build the evidence about how to best integrate consideration of the natural environment into economic and financial decision making. It will also help decision-makers in governments and the private sector to access and use that evidence easily by building communities of practice and robust approaches to sharing knowledge and information. The outcomes will support the implementation of the Kunming-Montreal Global Biodiversity Framework (KMGBF), agreed at the Convention on Biological Diversity (CBD) meeting COP15. As protection and restoration of critical ecosystems is also critical to tackling climate change, it will also support the UK goal to keep global temperature rises within 1.5c degrees.",2023-2-1
Illegal Wildlife Trade Challenge Fund Round 7,https://devtracker.fcdo.gov.uk/projects/GB-GOV-7-GB-GOV-7-IWTCF-R7/summary,,2021-4-1
Illegal Wildlife Trade Challenge Fund Round 9,https://devtracker.fcdo.gov.uk/projects/GB-GOV-7-GB-GOV-7-IWTCF-R9/summary,,2023-4-1
Darwin Initiative Round 27,https://devtracker.fcdo.gov.uk/projects/GB-GOV-7-DAR27/summary,"The Darwin Initiative is the UK’s flagship international challenge fund for biodiversity conversation and poverty reduction, established at the Rio Earth Summit in 1992. The Darwin Initiative is a grant scheme working on projects that aim to slow, halt, or reverse the rates of biodiversity loss and degradation, with associated reductions in multidimensional poverty. To date, the Darwin Initiative has awarded more than £195m to over 1,280 projects in 159 countries to enhance the capability and capacity of national and local stakeholders to deliver biodiversity conservation and multidimensional poverty reduction outcomes in low and middle-income countries.",2021-7-1
Darwin Initiative Round 28,https://devtracker.fcdo.gov.uk/projects/GB-GOV-7-DAR28/summary,"The Darwin Initiative is the UK’s flagship international challenge fund for biodiversity conversation and poverty reduction, established at the Rio Earth Summit in 1992. The Darwin Initiative is a grant scheme working on projects that aim to slow, halt, or reverse the rates of biodiversity loss and degradation, with associated reductions in multidimensional poverty. To date, the Darwin Initiative has awarded more than £195m to over 1,280 projects in 159 countries to enhance the capability and capacity of national and local stakeholders to deliver biodiversity conservation and multidimensional poverty reduction outcomes in low and middle-income countries.",2022-4-1
Darwin Initiative Round 29,https://devtracker.fcdo.gov.uk/projects/GB-GOV-7-DAR29/summary,"The Darwin Initiative is the UK’s flagship international challenge fund for biodiversity conversation and poverty reduction, established at the Rio Earth Summit in 1992. The Darwin Initiative is a grant scheme working on projects that aim to slow, halt, or reverse the rates of biodiversity loss and degradation, with associated reductions in multidimensional poverty. To date, the Darwin Initiative has awarded more than £195m to over 1,280 projects in 159 countries to enhance the capability and capacity of national and local stakeholders to deliver biodiversity conservation and multidimensional poverty reduction outcomes in low and middle-income countries.",2023-4-1
Darwin Initiative Round 24,https://devtracker.fcdo.gov.uk/projects/GB-GOV-7-DAR24/summary,The Darwin Initiative is a UK government grants scheme that helps to protect biodiversity and the natural environment through locally based projects worldwide. The initiative funds projects that help countries rich in biodiversity but poor in financial resources to meet their objectives under one or more of the biodiversity conventions. The objective is to to address threats to biodiversity such as: - habitat loss or degradation - climate change - invasive species - over-exploitation - pollution and eutrophication,2018-4-1
Illegal Wildlife Trade Challenge Fund Round 3,https://devtracker.fcdo.gov.uk/projects/GB-GOV-7-IWTCF-R3/summary,"Illegal wildlife trade (IWT) is the fifth most lucrative transnational crime, worth up to £17bn a year globally. As well as threatening species with extinction, IWT destroys vital ecosystems. IWT also fosters corruption, feeds insecurity, and undermines good governance and the rule of law. The UK government is committed to tackling illegal trade of wildlife products. Defra manages the Illegal Wildlife Trade Challenge Fund, which is a competitive grants scheme with the objective of tackling illegal wildlife trade and, in doing so, contributing to sustainable development in developing countries. Projects funded under the Illegal Wildlife Trade Challenge Fund address one, or more, of the following themes: • Developing sustainable livelihoods to benefit people directly affected by IWT • Strengthening law enforcement • Ensuring effective legal frameworks • Reducing demand for IWT products Over £23 million has been committed to 75 projects since the Illegal Wildlife Trade Challenge Fund was established in 2013; five projects were awarded in 2014 (via applications to the Darwin Initiative), fourteen in 2015, fifteen in 2016, thirteen in 2017, fourteen in 2018 and in the latest round in 2019. This round of funding includes the following projects (details of which can be found at https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/811381/iwt-project-list-2019.pdf). The projects that a relevant for this area are IWT035 to IWT047.",2017-4-1
Darwin Initiative Round 23,https://devtracker.fcdo.gov.uk/projects/GB-GOV-7-DAR23/summary,The Darwin Initiative is a UK government grants scheme that helps to protect biodiversity and the natural environment through locally based projects worldwide. The initiative funds projects that help countries rich in biodiversity but poor in financial resources to meet their objectives under one or more of the biodiversity conventions. The objective is to to address threats to biodiversity such as: - habitat loss or degradation - climate change - invasive species - over-exploitation - pollution and eutrophication.,2018-4-1
