Name of the Project,Duration of the Project,Link to the project
UNJP/NEP/078/UNJ: Accelerating Progress towards Rural Women`s Economic Empowerment (JP RWEE) Phase II,21-Jun-2022 - 24-May-2027,https://www.fao.org/nepal/programmes-and-projects/project-list/ru/?no_cache=1
GCP /NEP/076/GCF – Building a Resilient Churia Region in Nepal (BRCRN),May 2020 to May 2027,https://www.fao.org/nepal/programmes-and-projects/project-list/ru/?no_cache=1
UNJP/NEP/084/UNJ Assessing the impact of the global crisis on the agriculture and food security situation in Nepal,20-Jun-2022 - 31-Mar-2023,https://www.fao.org/nepal/programmes-and-projects/project-list/ru/?no_cache=1
UTF /NEP/077: Technical Assistance to Food and Nutrition Security Enhancement Project [FAO TA TO FANSEP] Sectors into National Adaptation Plans (NAPs),Jul 2019 to June 2023,https://www.fao.org/nepal/programmes-and-projects/project-list/ru/?no_cache=1
"GCP /NEP/080/GFF: Enhancing Capacity for Sustainable Management of Forests, Land and Biodiversity in the Eastern Hills (FSP- Eastern Hills)",June 2023- June 2027,https://www.fao.org/nepal/programmes-and-projects/project-list/ru/?no_cache=1
UTF/NEP/073 - Technical Assistance to the Agriculture and Food Security Project (AFSP),22 Jan 2014 - 31 March 2018 (Project Completed),https://www.fao.org/nepal/programmes-and-projects/project-list/ru/?no_cache=1
GCP/NEP/072: Reducing Vulnerability and Increasing Adaptive Capacity to Respond the Impacts of Climate Change and Variability for Sustainable Livelihood in Agriculture Sector,2015 - 2018,https://www.fao.org/nepal/programmes-and-projects/project-list/ru/?no_cache=1
TCP/NEP/3801/C1 TCPF: Support to the development of strategic roadmap of interventions and investment plan for Integrated Mountain Green Economy Development,Jul 2020 to  Sep 2021 ( First Phase),https://www.fao.org/nepal/programmes-and-projects/project-list/ru/?no_cache=1
TCP/NEP/3802/C2: TCPF: Support to the formulation of a Full Funding Proposal on CRA for the Green Climate Fundpilvastu,Dec 2020 - 30 Jun-2022,https://www.fao.org/nepal/programmes-and-projects/project-list/ru/?no_cache=1
TCP/NEP/3803/C3: Technical Assistance to the Nepal Integrated Agricultural Statistics System,Dec 2020 - June 2022Budget:  75000 USDGeographic Coverage: National,https://www.fao.org/nepal/programmes-and-projects/project-list/ru/?no_cache=1
TCP/NEP/3804: Strengthening capacity of public & private sectors on organic agriculture and NTFP/MAPs in Karnali,Oct2020  to Dec 2022,https://www.fao.org/nepal/programmes-and-projects/project-list/ru/?no_cache=1
TCP/NEP/3805/C4 – TCPF: Support to the establishment of GIS based data and Information platform in the context of Hand in Hand (HIH) Initiative,April 2021 to June 2022,https://www.fao.org/nepal/programmes-and-projects/project-list/ru/?no_cache=1
TCP/NEP/3806/C5 – TCPF: Support to operationalize the “One Health Strategy 2019” of the Government of Nepal.,March 2021 to September 2022,https://www.fao.org/nepal/programmes-and-projects/project-list/ru/?no_cache=1
TCP/NEP/3807/C6- TCPF: Support to strengthen preparedness and response capacity to tackle emerging and neglected zoonotic disease Glanders,July 2021 to September 2022,https://www.fao.org/nepal/programmes-and-projects/project-list/ru/?no_cache=1
