"Name of the Project","Duration of the Project","Sector"
"MCC Program Management & Support","","Energy"
"MCC Transmission Lines Activity","","Energy"
"MCC Program Administration","","Operating Expenses"
"Momentum 2B: Private Healthcare Delivery","","Maternal and Child Health, Family Planning"
"URJA Nepal","","Energy"
"Agriculture","","Agriculture"
"Basic Education","","Basic Education"
"Red Book Support Program","","Maternal and Child Health, Family Planning"
"Red Book Support Program","","Basic Health"
"USAID Pay and Benefits","","Operating Expenses"
"Private Sector Productivity","","Business and Other Services"
"Water Supply and Sanitation","","Water Supply and Sanitation"
"WASH Assistance","","Water Supply and Sanitation"
"USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.","2015-12-22 - 2030-12-21","Agriculture"
"Polio Immunization Funding","","Maternal and Child Health, Family Planning"
"Red Book Support Program","","Health, General"
"Breakthrough-ACTION","2017-07-21 - 2025-07-31","Basic Education"
"WASH Assistance","","General Environmental Protection"
"USAID Travel and Transportation","","Operating Expenses"
"MCC Not Applicable","","Unallocated/ Unspecified"
"USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.","","Operating Expenses"
"Hamro Samman","2017-07-12 - 2024-03-11","Government and Civil Society"
"Program Design and Learning","","Operating Expenses"
"USAID Miscellaneous Goods, Services, and Operations Maintanence","","Operating Expenses"
"USAID Miscellaneous Goods, Services, and Operations Maintanence","","Maternal and Child Health, Family Planning"
"USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.","","HIV/AIDS"
"USAID Advisory and Assistance Services","","Operating Expenses"
"USAID Equipment, Lands, and Structures","","Operating Expenses"
"USAID Travel and Transportation","","Other Multisector"
"USAID Claims, Income, and Refunds","","Operating Expenses"
"USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.","","Maternal and Child Health, Family Planning"
"USAID Communications, Utilities, and Rental Payments","","Operating Expenses"
"USAID Communications, Utilities, and Rental Payments","","Other Multisector"
"USAID Travel and Transportation","","Maternal and Child Health, Family Planning"
"USAID Miscellaneous Goods, Services, and Operations Maintanence","","HIV/AIDS"
"USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.","","Administration and Oversight"
"Measuring Impact 2 (MI 2)","","General Environmental Protection"
"USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.","","Program Design and Learning"
"MCC Audit","","Operating Expenses"
"MCC MONITORING AND EVALUATION","","Operating Expenses"
"MCC Fiscal Management","","Operating Expenses"
"MCC Procurement Management","","Operating Expenses"
"MCC Technical Assistance and Capacity Building","","Energy"
"MCC Power Substations Activity","","Energy"
"MCC Road Maintenance Activity","","Transport and Storage"
"Food for Progress","","Developmental Food Aid/Food Security Assistance"
"Early Grade Learning (EGL)","","Basic Education"
"Nepal Biodiversity Activity","","General Environmental Protection"
"Adolescent Reproductive Health (ARH) Activity","","Maternal and Child Health, Family Planning"
"TMEC: Meeting Targets and Maintaining Epidemic Control (EpiC)","","HIV/AIDS"
"MCC Road Maintenance Improvement Technical Assistance Activity","","Transport and Storage"
