Name of the Project,Link to the project,Procurement Details,Link to the Procurement,Date of Publishment
Dedicated Grant Mechanism for Indigenous Peoples and Local Communities in Nepal - P171720,http://projects.worldbank.org/en/projects-operations/project-detail/P171720,Desktop computer-4(2 provincial and 2 PMU office) and Printer,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00284687,"April 17, 2024"
Nepal Livestock Sector Innovation Project - P156797,http://projects.worldbank.org/en/projects-operations/project-detail/P156797,"Construction of; Slice 1: Store Room, Record Room and Compound Wall at Bull Mother shed and Slice 2; Construction of Quarantine Shed at NLBO, Pokhara",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00283577,"April 10, 2024"
Nepal Livestock Sector Innovation Project - P156797,http://projects.worldbank.org/en/projects-operations/project-detail/P156797,"Construction of; Slice 1: Store Room, Record Room and Compound Wall at Bull Mother shed and Slice 2; Construction of Quarantine Shed at NLBO, Pokhara",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00283578,"April 10, 2024"
Nepal Livestock Sector Innovation Project - P156797,http://projects.worldbank.org/en/projects-operations/project-detail/P156797,Procurement of UV-VIS Spectrophotometer for National Animal Feed and Livestock Quality Management Laboratory (NAFLQML) PMU,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00283616,"April 10, 2024"
Nepal Livestock Sector Innovation Project - P156797,http://projects.worldbank.org/en/projects-operations/project-detail/P156797,Procurement of HPLC water generator,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00283630,"April 10, 2024"
Nepal Strategic Road Connectivity and Trade Improvement Project - P170409,http://projects.worldbank.org/en/projects-operations/project-detail/P170409,"Periodic Maintenance of a) Damauli (PRM) - Jyamiretar (Byas Marg) (km 10 to 16.13) length 6.13 km of F12801 b) Marsyangdi River - Gorkha (km 67.46 to 90.97) length 23.51 km of NH44-006 Damauli Division, DOR",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00283680,"April 10, 2024"
Nepal Strategic Road Connectivity and Trade Improvement Project - P170409,http://projects.worldbank.org/en/projects-operations/project-detail/P170409,"Periodic Maintenance of  a) Shivgadiya (Lumbini-Circumambulatory) - Saljhandi (km 11.29 to 36.8) length 25.51 km of NH52-003  Butwal Division, DOR",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00283527,"April 9, 2024"
Nepal Strategic Road Connectivity and Trade Improvement Project - P170409,http://projects.worldbank.org/en/projects-operations/project-detail/P170409,"Periodic Maintenance of a) Ch( 0 to 0.4) 0.4km of 26SUR00201 b. Ch (0 to 2) 2 km of 26SUR00301, c. Ch (0 to 5) 5 km of F07101, d. Ch (0 to 4.4) 4.4 km of F02801, e. Ch (1 to 2) 1 km of F09201, f. Ch (9 to 12.25)  3.25 km of F09802 Bhaktapur Division, DOR",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00283542,"April 9, 2024"
Nepal Strategic Road Connectivity and Trade Improvement Project - P170409,http://projects.worldbank.org/en/projects-operations/project-detail/P170409,"Periodic Maintenance of  a) Bhalubang - Ganaha Khola bridge (km 0 to 8) length 8 km of NH53-001, b)   Arjun Khola - Belbhar (km 36.5 to 50.5) length 14 km of NH54-002 Dang Division, DOR",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00283543,"April 9, 2024"
Nepal Strategic Road Connectivity and Trade Improvement Project - P170409,http://projects.worldbank.org/en/projects-operations/project-detail/P170409,"Periodic Maintenance of  a.Ch (0 to 1)1 km of 27SUR01801, b.Ch(1 to 1.5)  0.5 km of 27SUR04001 c. Ch(0 to 0.4)0.4 km of 27SUR05001 d .Ch (0 to 0.28) 0.28 km of F08801, e .Ch(5 to 8.3) 3.3 km of F09202  Kathmandu Division, DOR",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00283544,"April 9, 2024"
Nepal Livestock Sector Innovation Project - P156797,http://projects.worldbank.org/en/projects-operations/project-detail/P156797,"Construction of RCC Platform for Entrance of Semen Lab at National Livestock Breeding Office, Lahan, Siraha",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00281025,"April 7, 2024"
Rural Enterprise and Economic Development Project - P170215,http://projects.worldbank.org/en/projects-operations/project-detail/P170215,Construction of Municipal Agricultural and Livestock Service Centres (MALSC) under ECO Bardibas Phase IV,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00283119,"April 6, 2024"
Accelerating Transport and Trade Connectivity in Eastern South Asia – Nepal Phase 1 Project - P177902,http://projects.worldbank.org/en/projects-operations/project-detail/P177902,Procurement of Fire Fighting Equipment for Community Forest User Group/Division Forest Office etc.,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00282504,"April 1, 2024"
Rural Enterprise and Economic Development Project - P170215,http://projects.worldbank.org/en/projects-operations/project-detail/P170215,Recruitment of Environment Safeguard Specialist,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00281852,"March 28, 2024"
